DATE,M12MTVUSM227NFWA_POP
1998-01-01,9347.6837590031534000
1998-02-01,9352.1783741695108000
1998-03-01,9353.3214323370188000
1998-04-01,9368.6760817133060000
1998-05-01,9366.4303029423292000
1998-06-01,9380.6790991748720000
1998-07-01,9382.9020516813646000
1998-08-01,9385.8106201477473000
1998-09-01,9397.1465122834407000
1998-10-01,9413.7103208268503000
1998-11-01,9435.9863962752049000
1998-12-01,9459.8812363526300000
1999-01-01,9439.0510817524029000
1999-02-01,9447.7251143917811000
1999-03-01,9464.2448903299089000
1999-04-01,9466.6853414065670000
1999-05-01,9468.0087687510988000
1999-06-01,9484.3136762950670000
1999-07-01,9485.6871766411858000
1999-08-01,9490.8655875136802000
1999-09-01,9497.9689392396652000
1999-10-01,9506.0331259836618000
1999-11-01,9535.0178806365007000
1999-12-01,9545.0882742700808000
2000-01-01,9571.3477307670406000
2000-02-01,9591.7173441445286000
2000-03-01,9625.9252547004538000
2000-04-01,9641.3849666078472000
2000-05-01,9675.2839004246533000
2000-06-01,9691.5278988820598000
2000-07-01,9689.8029286258123000
2000-08-01,9703.0068670772997000
2000-09-01,9706.1414050019086000
2000-10-01,9707.0172774813648000
2000-11-01,9701.7883035282745000
2000-12-01,9682.6391630477694000
2001-01-01,9696.9885883347422000
2001-02-01,9695.2667199273590000
2001-03-01,9688.3453490416740000
2001-04-01,9697.4007400353502000
2001-05-01,9699.6313331694814000
2001-06-01,9692.9334671054016000
2001-07-01,9702.8484905838933000
2001-08-01,9713.0370837272823000
2001-09-01,9698.2084570900809000
2001-10-01,9705.4995141524932000
2001-11-01,9724.1261293353030000
2001-12-01,9755.4175245140803000
2002-01-01,9767.2845446810885000
2002-02-01,9785.9223537774309000
2002-03-01,9791.3715658623211000
2002-04-01,9800.7181703358073000
2002-05-01,9815.2303536226241000
2002-06-01,9822.1938137453798000
2002-07-01,9834.9039412714115000
2002-08-01,9844.9056734637259000
2002-09-01,9861.4431532336860000
2002-10-01,9868.4390902482085000
2002-11-01,9860.8572634258715000
2002-12-01,9869.9643638550635000
2003-01-01,9874.4395857943202000
2003-02-01,9852.0195779285778000
2003-03-01,9847.4255892325576000
2003-04-01,9847.7070228349849000
2003-05-01,9845.3706956527729000
2003-06-01,9852.0255760812708000
2003-07-01,9863.6751255071866000
2003-08-01,9862.0787983729112000
2003-09-01,9866.7826898850409000
2003-10-01,9887.3459224759409000
2003-11-01,9889.9032579753056000
2003-12-01,9897.7459521656941000
2004-01-01,9904.9152611981163000
2004-02-01,9933.2656104635254000
2004-03-01,9977.0406855322480000
2004-04-01,10009.0716888847902000
2004-05-01,10015.2458898896576000
2004-06-01,10025.3902320077211000
2004-07-01,10030.3581712174959000
2004-08-01,10028.9324149952846000
2004-09-01,10040.9632242636178000
2004-10-01,10033.6471467899262000
2004-11-01,10046.3143452894392000
2004-12-01,10060.5679111213666000
2005-01-01,10058.5628352672304000
2005-02-01,10073.2688365158164000
2005-03-01,10073.0848293355278000
2005-04-01,10065.7991810213544000
2005-05-01,10076.9215161107053000
2005-06-01,10090.7594885380623000
2005-07-01,10085.8075668667662000
2005-08-01,10085.5552557009850000
2005-09-01,10072.1823212799159000
2005-10-01,10052.8332637420363000
2005-11-01,10055.8533278152937000
2005-12-01,10050.8285955398059000
2006-01-01,10074.4774850746018000
2006-02-01,10069.9638077715928000
2006-03-01,10074.5487485741126000
2006-04-01,10066.3602441992618000
2006-05-01,10061.4279588336192000
2006-06-01,10053.1299897234710000
2006-07-01,10032.4352165246358000
2006-08-01,10023.0933994513187000
2006-09-01,10024.5898903035847000
2006-10-01,10036.9403171744459000
2006-11-01,10035.9087485921078000
2006-12-01,10035.6795631617500000
2007-01-01,10028.9945238111081000
2007-02-01,10016.4759542822189000
2007-03-01,10019.2046402078260000
2007-04-01,10017.9317121100467000
2007-05-01,10024.2667082389388000
2007-06-01,10021.0380494400790000
2007-07-01,10024.4466960702507000
2007-08-01,10035.6373669636447000
2007-09-01,10027.5726666358174000
2007-10-01,10030.4352277193064000
2007-11-01,10023.7152454678044000
2007-12-01,9989.9468160521222000
2008-01-01,9980.4287229906493000
2008-02-01,9980.6197338917589000
2008-03-01,9950.1788376049252000
2008-04-01,9941.6408816343710000
2008-05-01,9914.8404819878879000
2008-06-01,9881.3485861385098000
2008-07-01,9855.4386839808660000
2008-08-01,9812.6571489452376000
2008-09-01,9783.3473628356845000
2008-10-01,9757.2573096735765000
2008-11-01,9719.3691012668991000
2008-12-01,9717.2193827531666000
2009-01-01,9686.6084491587418000
2009-02-01,9668.4225298790478000
2009-03-01,9654.0699570759456000
2009-04-01,9645.4804147502991000
2009-05-01,9628.8992260182941000
